instance,best_known,coloring_cwls_primal,coloring_cwls_time_to_best_known,coloring_cwls_time_to_improve,coloring_cwls_time_opt
rvisp8404,9999999,49,4.455399903235957e-5,4.455399903235957e-5,-
rvisp8432,9999999,41,0.00010206700244452804,0.00010206700244452804,-
rvisp9770,9999999,61,5.123599839862436e-5,5.123599839862436e-5,-
rvisp10374,9999999,55,0.00010943200322799385,0.00010943200322799385,-
rvisp11339,9999999,73,4.616699879989028e-5,4.616699879989028e-5,-
rvisp12844,9999999,51,3.254100010963157e-5,3.254100010963157e-5,-
rvisp14562,9999999,64,3.242100137867965e-5,3.242100137867965e-5,-
rvisp15254,9999999,79,0.00013698800466954708,0.00013698800466954708,-
rvisp15474,9999999,91,5.5084001360228285e-5,5.5084001360228285e-5,-
rvisp20601,9999999,82,0.00016736899851821363,0.00016736899851821363,-
rvisp22145,9999999,117,3.2170999475056306e-5,3.2170999475056306e-5,-
rvisp24116,9999999,105,0.00016140899970196187,0.00016140899970196187,-
rvispecn2615,9999999,38,3.288700099801645e-5,3.288700099801645e-5,-
rvispecn6048,9999999,72,5.17209991812706e-5,5.17209991812706e-5,-
rvispecn13421,9999999,158,4.7189001634251326e-5,4.7189001634251326e-5,-
rvispecn17968,9999999,178,4.1317998693557456e-5,4.1317998693557456e-5,-
sqrp7730,9999999,94,2.7321999368723482e-5,2.7321999368723482e-5,-
sqrp9831,9999999,113,6.353999924613163e-5,6.353999924613163e-5,-
sqrp10642,9999999,125,4.377300138003193e-5,4.377300138003193e-5,-
sqrp12451,9999999,128,4.972299939254299e-5,4.972299939254299e-5,-
sqrp15532,9999999,145,0.00011501800327096134,0.00011501800327096134,-
sqrp18603,9999999,154,0.00019283799338154495,0.00019283799338154495,-
sqrp20166,9999999,157,4.12580011470709e-5,4.12580011470709e-5,-
sqrp20602,9999999,154,0.00016480800695717335,0.00016480800695717335,-
sqrp23758,9999999,175,4.710899884230457e-5,4.710899884230457e-5,-
sqrp26930,9999999,192,0.00018623299547471106,0.00018623299547471106,-
sqrp28863,9999999,193,5.7216999266529456e-5,5.7216999266529456e-5,-
sqrp30973,9999999,194,0.0001396269944962114,0.0001396269944962114,-
sqrp32894,9999999,187,4.367200017441064e-5,4.367200017441064e-5,-
